model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost_BAG_L1,0.00012681561895211413,0.0007370285687342548,r2,0.2664220333099365,0.07552838325500488,4.194796800613403,0.2664220333099365,0.07552838325500488,4.194796800613403,1,True,7
WeightedEnsemble_L2,0.00011294582278664755,0.0025623769302649535,r2,0.8204128742218018,0.49568748474121094,124.95147395133972,0.005636453628540039,0.002005338668823242,0.3468058109283447,2,True,16
NeuralNetTorch_r22_BAG_L1,-0.00028690876123227405,-0.0060291389945084095,r2,0.5741939544677734,0.2394545078277588,36.50323963165283,0.5741939544677734,0.2394545078277588,36.50323963165283,1,True,15
LightGBM_r131_BAG_L1,-0.0004249883885176775,0.0007575864534261623,r2,0.42296624183654785,0.04924893379211426,3.453101634979248,0.42296624183654785,0.04924893379211426,3.453101634979248,1,True,12
LightGBM_r96_BAG_L1,-0.0004864922944367578,0.0001751041086708316,r2,0.38026881217956543,0.049933671951293945,2.3940927982330322,0.38026881217956543,0.049933671951293945,2.3940927982330322,1,True,14
NeuralNetTorch_BAG_L1,-0.0006920131743859415,-0.0014077576951252446,r2,0.46878719329833984,0.12599849700927734,23.774428844451904,0.46878719329833984,0.12599849700927734,23.774428844451904,1,True,8
LightGBM_BAG_L1,-0.000705402820888823,0.0010982421223592054,r2,0.0435338020324707,0.03816986083984375,3.0653038024902344,0.0435338020324707,0.03816986083984375,3.0653038024902344,1,True,2
LightGBMXT_BAG_L1,-0.0008316707496844877,0.0003967389271644084,r2,0.3826255798339844,0.042617082595825195,2.9349730014801025,0.3826255798339844,0.042617082595825195,2.9349730014801025,1,True,1
LightGBMLarge_BAG_L1,-0.0008672525856681101,0.0007486423918620089,r2,0.3965792655944824,0.027886390686035156,14.623412370681763,0.3965792655944824,0.027886390686035156,14.623412370681763,1,True,9
CatBoost_r9_BAG_L1,-0.0010116346492139439,0.0008099432687912467,r2,0.12927842140197754,0.07702469825744629,43.928239822387695,0.12927842140197754,0.07702469825744629,43.928239822387695,1,True,13
CatBoost_r177_BAG_L1,-0.0011723834971966163,0.00038355023991953896,r2,0.4005436897277832,0.0522611141204834,19.959402799606323,0.4005436897277832,0.0522611141204834,19.959402799606323,1,True,10
NeuralNetTorch_r79_BAG_L1,-0.0012049761658079472,-0.00981971630321321,r2,0.27551984786987305,0.21253514289855957,52.56572341918945,0.27551984786987305,0.21253514289855957,52.56572341918945,1,True,11
CatBoost_BAG_L1,-0.0016762055424224265,0.0009767804927758306,r2,0.1000223159790039,0.0904240608215332,20.85060429573059,0.1000223159790039,0.0904240608215332,20.85060429573059,1,True,4
ExtraTreesMSE_BAG_L1,-0.012656308160986951,-0.02136943924649426,r2,0.48595619201660156,1.4853863716125488,9.475122213363647,0.48595619201660156,1.4853863716125488,9.475122213363647,1,True,5
RandomForestMSE_BAG_L1,-0.017247705398086177,-0.019446314036074108,r2,0.5068778991699219,1.5045692920684814,15.642207622528076,0.5068778991699219,1.5045692920684814,15.642207622528076,1,True,3
NeuralNetFastAI_BAG_L1,-0.047841481497569394,-0.08376429032801891,r2,1.0795683860778809,0.2606935501098633,26.756807327270508,1.0795683860778809,0.2606935501098633,26.756807327270508,1,True,6
