model,backend,status,r2,mae,rmse,elapsed_seconds,time_limit_seconds
Dummy mean,manual baseline,ok,-8.990871744107842e-05,7.897397916666667,9.096571240491295,0.0006325244903564453,
Best manual tuned HistGB,manual tuned,ok,-0.002559015766781414,7.909422852990281,9.107793512621132,0.7108974456787109,
FLAML AutoML,FLAML,ok,-0.0060121244468571,7.916167070070903,9.123464992273693,120.30969047546388,120.0
auto-sklearn,auto-sklearn,ok,-0.0004013657604362564,7.89244455019633,9.097987598463263,3605.8772296905518,3600.0
AutoGluon best_quality,AutoGluon,ok,0.0001129458227866,7.897658019065857,9.095648636262151,625.7302942276001,600.0
